Month,Year,PercentOccurrence,Period,Site,DeviceType
February,2023,68,2,RTWB,Real Time
March,2023,39,2,RTWB,Real Time
April,2023,0,2,A-7M,Archival
April,2023,3,2,RTWB,Real Time
April,2023,0,2,A-2M,Archival
April,2023,0,2,T-2M,Archival
May,2023,0,2,A-7M,Archival
May,2023,0,2,RTWB,Real Time
May,2023,0,2,A-2M,Archival
May,2023,0,2,T-2M,Archival
June,2023,0,2,A-7M,Archival
June,2023,0,2,RTWB,Real Time
June,2023,0,2,A-2M,Archival
June,2023,0,2,T-2M,Archival
July,2023,0,2,A-7M,Archival
July,2023,0,2,RTWB,Real Time
July,2023,0,2,A-2M,Archival
July,2023,0,2,T-2M,Archival
August,2023,0,2,A-7M,Archival
August,2023,0,2,RTWB,Real Time
August,2023,0,2,A-2M,Archival
August,2023,0,2,T-2M,Archival
September,2023,0,2,A-7M,Archival
September,2023,0,2,RTWB,Real Time
September,2023,0,2,A-2M,Archival
September,2023,0,2,T-2M,Archival
October,2023,0,2,A-7M,Archival
October,2023,0,2,RTWB,Real Time
October,2023,0,2,A-2M,Archival
October,2023,0,2,T-2M,Archival
November,2023,7,2,A-7M,Archival
November,2023,3,2,RTWB,Real Time
November,2023,10,2,A-2M,Archival
November,2023,3,2,T-2M,Archival
December,2023,45,2,A-7M,Archival
December,2023,32,2,RTWB,Real Time
December,2023,48,2,A-2M,Archival
December,2023,32,2,T-2M,Archival
January,2024,94,2,A-7M,Archival
January,2024,74,2,RTWB,Real Time
January,2024,55,2,A-2M,Archival
January,2024,74,2,T-2M,Archival
February,2024,28,2,A-7M,Archival
February,2024,28,2,RTWB,Real Time
February,2024,38,2,A-2M,Archival
February,2024,24,2,T-2M,Archival
March,2024,45,2,A-7M,Archival
March,2024,26,2,RTWB,Real Time
March,2024,13,2,A-2M,Archival
March,2024,42,2,T-2M,Archival
April,2024,12,2,A-7M,Archival
April,2024,17,2,RTWB,Real Time
April,2024,0,2,A-2M,Archival
April,2024,29,2,T-2M,Archival
May,2024,3,2,RTWB,Real Time
June,2024,0,2,RTWB,Real Time
July,2024,0,2,RTWB,Real Time
October,2024,0,2,RTWB,Real Time
November,2024,3,2,RTWB,Real Time
December,2024,29,2,RTWB,Real Time
