date,daily_occurrence,site,device_type
1/31/15,0,A2M,Archival
1/31/15,1,T2M,Archival
2/1/15,0,A7M,Archival
2/1/15,0,A2M,Archival
2/1/15,1,T2M,Archival
2/2/15,1,A7M,Archival
2/2/15,1,A2M,Archival
2/2/15,1,T2M,Archival
2/3/15,1,A7M,Archival
2/3/15,0,A2M,Archival
2/3/15,0,T2M,Archival
2/4/15,0,A7M,Archival
2/4/15,0,A2M,Archival
2/4/15,0,T2M,Archival
2/5/15,0,A7M,Archival
2/5/15,1,A2M,Archival
2/5/15,0,T2M,Archival
2/6/15,1,A7M,Archival
2/6/15,1,A2M,Archival
2/6/15,1,T2M,Archival
2/7/15,0,A7M,Archival
2/7/15,1,A2M,Archival
2/7/15,0,T2M,Archival
2/8/15,1,A7M,Archival
2/8/15,1,A2M,Archival
2/8/15,0,T2M,Archival
2/9/15,1,A7M,Archival
2/9/15,0,A2M,Archival
2/9/15,1,T2M,Archival
2/10/15,0,A7M,Archival
2/10/15,0,A2M,Archival
2/10/15,0,T2M,Archival
2/11/15,0,A7M,Archival
2/11/15,0,A2M,Archival
2/11/15,0,T2M,Archival
2/12/15,0,A7M,Archival
2/12/15,0,A2M,Archival
2/12/15,0,T2M,Archival
2/13/15,0,A7M,Archival
2/13/15,0,A2M,Archival
2/13/15,0,T2M,Archival
2/14/15,1,A7M,Archival
2/14/15,0,A2M,Archival
2/14/15,0,T2M,Archival
2/15/15,1,A7M,Archival
2/15/15,0,A2M,Archival
2/15/15,0,T2M,Archival
2/16/15,0,A7M,Archival
2/16/15,1,A2M,Archival
2/16/15,0,T2M,Archival
2/17/15,1,A7M,Archival
2/17/15,1,A2M,Archival
2/17/15,1,T2M,Archival
2/18/15,1,A7M,Archival
2/18/15,1,A2M,Archival
2/18/15,1,T2M,Archival
2/19/15,1,A7M,Archival
2/19/15,0,A2M,Archival
2/19/15,1,T2M,Archival
2/20/15,0,A7M,Archival
2/20/15,0,A2M,Archival
2/20/15,1,T2M,Archival
2/21/15,1,A7M,Archival
2/21/15,0,A2M,Archival
2/21/15,1,T2M,Archival
2/22/15,0,A7M,Archival
2/22/15,1,A2M,Archival
2/22/15,0,T2M,Archival
2/23/15,0,A7M,Archival
2/23/15,0,A2M,Archival
2/23/15,0,T2M,Archival
2/24/15,0,A7M,Archival
2/24/15,1,A2M,Archival
2/24/15,0,T2M,Archival
2/25/15,1,A7M,Archival
2/25/15,0,A2M,Archival
2/25/15,1,T2M,Archival
2/26/15,1,A7M,Archival
2/26/15,0,A2M,Archival
2/26/15,1,T2M,Archival
2/27/15,0,A7M,Archival
2/27/15,0,A2M,Archival
2/27/15,0,T2M,Archival
2/28/15,0,A7M,Archival
2/28/15,0,A2M,Archival
2/28/15,0,T2M,Archival
3/1/15,0,A7M,Archival
3/1/15,0,A2M,Archival
3/1/15,0,T2M,Archival
3/2/15,0,A7M,Archival
3/2/15,0,A2M,Archival
3/2/15,0,T2M,Archival
3/3/15,0,A7M,Archival
3/3/15,0,A2M,Archival
3/3/15,0,T2M,Archival
3/4/15,1,A7M,Archival
3/4/15,1,A2M,Archival
3/4/15,1,T2M,Archival
3/5/15,1,A7M,Archival
3/5/15,1,A2M,Archival
3/5/15,1,T2M,Archival
3/6/15,1,A7M,Archival
3/6/15,1,A2M,Archival
3/6/15,1,T2M,Archival
3/7/15,1,A7M,Archival
3/7/15,1,A2M,Archival
3/7/15,0,T2M,Archival
3/8/15,0,A7M,Archival
3/8/15,0,A2M,Archival
3/8/15,0,T2M,Archival
3/9/15,0,A7M,Archival
3/9/15,0,A2M,Archival
3/9/15,0,T2M,Archival
3/10/15,0,A7M,Archival
3/10/15,1,A2M,Archival
3/10/15,1,T2M,Archival
3/11/15,0,A7M,Archival
3/11/15,0,A2M,Archival
3/11/15,0,T2M,Archival
3/12/15,0,A7M,Archival
3/12/15,1,A2M,Archival
3/12/15,0,T2M,Archival
3/13/15,1,A7M,Archival
3/13/15,1,A2M,Archival
3/13/15,1,T2M,Archival
3/14/15,1,A7M,Archival
3/14/15,1,A2M,Archival
3/14/15,1,T2M,Archival
3/15/15,0,A7M,Archival
3/15/15,0,A2M,Archival
3/15/15,0,T2M,Archival
3/16/15,1,A7M,Archival
3/16/15,0,A2M,Archival
3/16/15,1,T2M,Archival
3/17/15,0,A7M,Archival
3/17/15,0,A2M,Archival
3/17/15,0,T2M,Archival
3/18/15,0,A7M,Archival
3/18/15,0,A2M,Archival
3/18/15,0,T2M,Archival
3/19/15,1,A7M,Archival
3/19/15,0,A2M,Archival
3/19/15,1,T2M,Archival
3/20/15,1,A7M,Archival
3/20/15,1,A2M,Archival
3/20/15,1,T2M,Archival
3/21/15,1,A7M,Archival
3/21/15,0,A2M,Archival
3/21/15,1,T2M,Archival
3/22/15,0,A7M,Archival
3/22/15,0,A2M,Archival
3/22/15,1,T2M,Archival
3/23/15,0,A7M,Archival
3/23/15,0,A2M,Archival
3/23/15,1,T2M,Archival
3/24/15,0,A7M,Archival
3/24/15,0,A2M,Archival
3/24/15,0,T2M,Archival
3/25/15,0,A7M,Archival
3/25/15,0,A2M,Archival
3/25/15,0,T2M,Archival
3/26/15,0,A7M,Archival
3/26/15,0,A2M,Archival
3/26/15,0,T2M,Archival
3/27/15,0,A7M,Archival
3/27/15,0,A2M,Archival
3/27/15,0,T2M,Archival
3/28/15,0,A7M,Archival
3/28/15,0,A2M,Archival
3/28/15,0,T2M,Archival
3/29/15,0,A7M,Archival
3/29/15,1,A2M,Archival
3/29/15,0,T2M,Archival
3/30/15,0,A7M,Archival
3/30/15,0,A2M,Archival
3/30/15,0,T2M,Archival
3/31/15,0,A7M,Archival
3/31/15,0,A2M,Archival
3/31/15,0,T2M,Archival
4/1/15,0,A7M,Archival
4/1/15,0,A2M,Archival
4/1/15,0,T2M,Archival
4/2/15,0,A7M,Archival
4/2/15,0,A2M,Archival
4/2/15,0,T2M,Archival
4/3/15,0,A7M,Archival
4/3/15,0,A2M,Archival
4/3/15,0,T2M,Archival
4/4/15,0,A7M,Archival
4/4/15,0,A2M,Archival
4/4/15,0,T2M,Archival
4/5/15,0,A7M,Archival
4/5/15,0,A2M,Archival
4/5/15,0,T2M,Archival
4/6/15,0,A7M,Archival
4/6/15,0,A2M,Archival
4/6/15,0,T2M,Archival
4/7/15,0,A7M,Archival
4/7/15,0,A2M,Archival
4/7/15,0,T2M,Archival
4/8/15,0,A7M,Archival
4/8/15,0,A2M,Archival
4/8/15,0,T2M,Archival
4/9/15,0,A7M,Archival
4/9/15,0,A2M,Archival
4/9/15,0,T2M,Archival
4/10/15,0,A7M,Archival
4/10/15,0,A2M,Archival
4/10/15,0,T2M,Archival
4/11/15,0,A7M,Archival
4/11/15,0,A2M,Archival
4/11/15,0,T2M,Archival
4/12/15,0,A7M,Archival
4/12/15,0,A2M,Archival
4/12/15,0,T2M,Archival
4/13/15,0,A7M,Archival
4/13/15,0,A2M,Archival
4/13/15,0,T2M,Archival
4/14/15,0,A7M,Archival
4/14/15,0,A2M,Archival
4/14/15,0,T2M,Archival
4/15/15,0,A7M,Archival
4/15/15,0,A2M,Archival
4/15/15,0,T2M,Archival
4/16/15,0,A7M,Archival
4/16/15,0,A2M,Archival
4/16/15,0,T2M,Archival
4/17/15,0,A7M,Archival
4/17/15,0,A2M,Archival
4/17/15,0,T2M,Archival
4/18/15,0,A7M,Archival
4/18/15,0,A2M,Archival
4/18/15,0,T2M,Archival
4/19/15,0,A7M,Archival
4/19/15,0,A2M,Archival
4/19/15,0,T2M,Archival
4/20/15,0,A7M,Archival
4/20/15,0,A2M,Archival
4/20/15,0,T2M,Archival
4/21/15,0,A7M,Archival
4/21/15,0,A2M,Archival
4/21/15,0,T2M,Archival
4/22/15,0,A7M,Archival
4/22/15,0,A2M,Archival
4/22/15,0,T2M,Archival
4/23/15,0,A7M,Archival
4/23/15,0,A2M,Archival
4/23/15,0,T2M,Archival
4/24/15,0,A7M,Archival
4/24/15,0,A2M,Archival
4/24/15,0,T2M,Archival
4/25/15,0,A7M,Archival
4/25/15,0,A2M,Archival
4/25/15,0,T2M,Archival
4/26/15,0,A7M,Archival
4/26/15,0,A2M,Archival
4/26/15,0,T2M,Archival
4/27/15,0,A7M,Archival
4/27/15,0,A2M,Archival
4/27/15,0,T2M,Archival
4/28/15,0,A7M,Archival
4/28/15,0,A2M,Archival
4/28/15,1,T2M,Archival
4/29/15,1,A7M,Archival
4/29/15,0,A2M,Archival
4/29/15,1,T2M,Archival
4/30/15,0,A7M,Archival
4/30/15,0,A2M,Archival
4/30/15,1,T2M,Archival
5/1/15,0,A7M,Archival
5/1/15,0,A2M,Archival
5/1/15,0,T2M,Archival
5/2/15,0,A7M,Archival
5/2/15,0,A2M,Archival
5/2/15,0,T2M,Archival
5/3/15,0,A7M,Archival
5/3/15,0,A2M,Archival
5/3/15,0,T2M,Archival
5/4/15,0,A7M,Archival
5/4/15,0,A2M,Archival
5/4/15,0,T2M,Archival
5/5/15,0,A7M,Archival
5/5/15,0,A2M,Archival
5/5/15,0,T2M,Archival
5/6/15,0,A7M,Archival
5/6/15,0,A2M,Archival
5/6/15,0,T2M,Archival
5/7/15,0,A7M,Archival
5/7/15,0,A2M,Archival
5/7/15,0,T2M,Archival
5/8/15,0,A7M,Archival
5/8/15,0,A2M,Archival
5/8/15,0,T2M,Archival
5/9/15,0,A7M,Archival
5/9/15,0,A2M,Archival
5/9/15,0,T2M,Archival
5/10/15,0,A7M,Archival
5/10/15,0,A2M,Archival
5/10/15,0,T2M,Archival
5/11/15,0,A7M,Archival
5/11/15,0,A2M,Archival
5/11/15,0,T2M,Archival
5/12/15,0,A7M,Archival
5/12/15,0,A2M,Archival
5/12/15,0,T2M,Archival
5/13/15,0,A7M,Archival
5/13/15,0,A2M,Archival
5/13/15,0,T2M,Archival
5/14/15,0,A7M,Archival
5/14/15,0,A2M,Archival
5/14/15,0,T2M,Archival
5/15/15,0,A7M,Archival
5/15/15,0,A2M,Archival
5/15/15,0,T2M,Archival
5/16/15,0,A7M,Archival
5/16/15,0,A2M,Archival
5/16/15,0,T2M,Archival
5/17/15,0,A7M,Archival
5/17/15,0,A2M,Archival
5/17/15,0,T2M,Archival
5/18/15,0,A7M,Archival
5/18/15,0,A2M,Archival
5/18/15,0,T2M,Archival
5/19/15,0,A7M,Archival
5/19/15,0,A2M,Archival
5/19/15,0,T2M,Archival
5/20/15,0,A7M,Archival
5/20/15,0,A2M,Archival
5/20/15,0,T2M,Archival
5/21/15,0,A7M,Archival
5/21/15,0,A2M,Archival
5/21/15,0,T2M,Archival
5/22/15,0,A7M,Archival
5/22/15,0,A2M,Archival
5/22/15,0,T2M,Archival
5/23/15,0,A7M,Archival
5/23/15,0,A2M,Archival
5/23/15,0,T2M,Archival
5/24/15,1,A7M,Archival
5/24/15,0,A2M,Archival
5/24/15,1,T2M,Archival
5/25/15,0,A7M,Archival
5/25/15,0,A2M,Archival
5/25/15,0,T2M,Archival
5/26/15,0,A7M,Archival
5/26/15,0,A2M,Archival
5/26/15,0,T2M,Archival
5/27/15,0,A7M,Archival
5/27/15,0,A2M,Archival
5/27/15,0,T2M,Archival
5/28/15,0,A7M,Archival
5/28/15,0,A2M,Archival
5/28/15,0,T2M,Archival
5/29/15,0,A7M,Archival
5/29/15,0,A2M,Archival
5/29/15,0,T2M,Archival
5/30/15,0,A7M,Archival
5/30/15,0,A2M,Archival
5/30/15,0,T2M,Archival
5/31/15,0,A7M,Archival
5/31/15,0,A2M,Archival
5/31/15,0,T2M,Archival
6/1/15,0,A7M,Archival
6/1/15,0,A2M,Archival
6/1/15,0,T2M,Archival
6/2/15,0,A7M,Archival
6/2/15,0,A2M,Archival
6/2/15,0,T2M,Archival
6/3/15,0,A7M,Archival
6/3/15,0,A2M,Archival
6/3/15,0,T2M,Archival
6/4/15,0,A7M,Archival
6/4/15,0,A2M,Archival
6/4/15,0,T2M,Archival
6/5/15,0,A7M,Archival
6/5/15,0,A2M,Archival
6/5/15,0,T2M,Archival
6/6/15,0,A7M,Archival
6/6/15,0,A2M,Archival
6/6/15,0,T2M,Archival
6/7/15,0,A7M,Archival
6/7/15,0,A2M,Archival
6/7/15,0,T2M,Archival
6/8/15,0,A7M,Archival
6/8/15,0,A2M,Archival
6/8/15,0,T2M,Archival
6/9/15,0,A7M,Archival
6/9/15,0,A2M,Archival
6/9/15,0,T2M,Archival
6/10/15,0,A7M,Archival
6/10/15,0,A2M,Archival
6/10/15,0,T2M,Archival
6/11/15,0,A7M,Archival
6/11/15,0,A2M,Archival
6/11/15,0,T2M,Archival
6/12/15,0,A7M,Archival
6/12/15,0,A2M,Archival
6/12/15,0,T2M,Archival
6/13/15,0,A7M,Archival
6/13/15,0,A2M,Archival
6/13/15,0,T2M,Archival
6/14/15,0,A7M,Archival
6/14/15,0,A2M,Archival
6/14/15,0,T2M,Archival
6/15/15,0,A7M,Archival
6/15/15,0,A2M,Archival
6/15/15,0,T2M,Archival
6/16/15,0,A7M,Archival
6/16/15,0,A2M,Archival
6/16/15,0,T2M,Archival
6/17/15,0,A7M,Archival
6/17/15,0,A2M,Archival
6/17/15,0,T2M,Archival
6/18/15,0,A7M,Archival
6/18/15,0,A2M,Archival
6/18/15,0,T2M,Archival
6/19/15,0,A7M,Archival
6/19/15,0,A2M,Archival
6/19/15,0,T2M,Archival
6/20/15,0,A7M,Archival
6/20/15,0,A2M,Archival
6/20/15,0,T2M,Archival
6/21/15,0,A7M,Archival
6/21/15,0,A2M,Archival
6/21/15,0,T2M,Archival
6/22/15,0,A7M,Archival
6/22/15,0,A2M,Archival
6/22/15,0,T2M,Archival
6/23/15,1,A7M,Archival
6/23/15,1,A2M,Archival
6/23/15,1,T2M,Archival
6/24/15,1,A7M,Archival
6/24/15,1,A2M,Archival
6/24/15,1,T2M,Archival
6/25/15,0,A7M,Archival
6/25/15,0,A2M,Archival
6/25/15,0,T2M,Archival
6/26/15,0,A7M,Archival
6/26/15,0,A2M,Archival
6/26/15,0,T2M,Archival
6/27/15,0,A7M,Archival
6/27/15,0,A2M,Archival
6/27/15,0,T2M,Archival
6/28/15,0,A7M,Archival
6/28/15,0,A2M,Archival
6/28/15,0,T2M,Archival
6/29/15,0,A7M,Archival
6/29/15,0,A2M,Archival
6/29/15,0,T2M,Archival
6/30/15,0,A7M,Archival
6/30/15,0,A2M,Archival
6/30/15,0,T2M,Archival
7/1/15,0,A7M,Archival
7/1/15,0,A2M,Archival
7/1/15,0,T2M,Archival
7/2/15,0,A7M,Archival
7/2/15,0,A2M,Archival
7/2/15,0,T2M,Archival
7/3/15,0,A7M,Archival
7/3/15,0,A2M,Archival
7/3/15,0,T2M,Archival
7/4/15,0,A7M,Archival
7/4/15,0,A2M,Archival
7/4/15,0,T2M,Archival
7/5/15,0,A7M,Archival
7/5/15,0,A2M,Archival
7/5/15,0,T2M,Archival
7/6/15,0,A7M,Archival
7/6/15,0,A2M,Archival
7/6/15,0,T2M,Archival
7/7/15,0,A7M,Archival
7/7/15,0,A2M,Archival
7/7/15,0,T2M,Archival
7/8/15,0,A7M,Archival
7/8/15,0,A2M,Archival
7/8/15,0,T2M,Archival
7/9/15,0,A7M,Archival
7/9/15,0,A2M,Archival
7/9/15,0,T2M,Archival
7/10/15,0,A7M,Archival
7/10/15,0,A2M,Archival
7/10/15,0,T2M,Archival
7/11/15,0,A7M,Archival
7/11/15,0,A2M,Archival
7/11/15,0,T2M,Archival
7/12/15,0,A7M,Archival
7/12/15,0,A2M,Archival
7/12/15,0,T2M,Archival
7/13/15,0,A7M,Archival
7/13/15,0,A2M,Archival
7/13/15,0,T2M,Archival
7/14/15,0,A7M,Archival
7/14/15,0,A2M,Archival
7/14/15,0,T2M,Archival
7/15/15,0,A7M,Archival
7/15/15,0,A2M,Archival
7/15/15,0,T2M,Archival
7/16/15,0,A7M,Archival
7/16/15,0,A2M,Archival
7/16/15,0,T2M,Archival
7/17/15,0,A7M,Archival
7/17/15,0,A2M,Archival
7/17/15,0,T2M,Archival
7/18/15,0,A7M,Archival
7/18/15,0,A2M,Archival
7/18/15,0,T2M,Archival
7/19/15,0,A7M,Archival
7/19/15,0,A2M,Archival
7/19/15,0,T2M,Archival
7/20/15,0,A7M,Archival
7/20/15,0,A2M,Archival
7/20/15,0,T2M,Archival
7/21/15,0,A7M,Archival
7/21/15,0,A2M,Archival
7/21/15,0,T2M,Archival
7/22/15,0,A7M,Archival
7/22/15,0,A2M,Archival
7/22/15,0,T2M,Archival
7/23/15,0,A7M,Archival
7/23/15,0,A2M,Archival
7/23/15,0,T2M,Archival
7/24/15,1,A7M,Archival
7/24/15,0,A2M,Archival
7/24/15,1,T2M,Archival
7/25/15,0,A7M,Archival
7/25/15,0,A2M,Archival
7/25/15,0,T2M,Archival
7/26/15,0,A7M,Archival
7/26/15,0,A2M,Archival
7/26/15,0,T2M,Archival
7/27/15,0,A7M,Archival
7/27/15,0,A2M,Archival
7/27/15,0,T2M,Archival
7/28/15,0,A7M,Archival
7/28/15,0,A2M,Archival
7/28/15,0,T2M,Archival
7/29/15,0,A7M,Archival
7/29/15,0,A2M,Archival
7/29/15,0,T2M,Archival
7/30/15,0,A7M,Archival
7/30/15,0,A2M,Archival
7/30/15,0,T2M,Archival
7/31/15,0,A7M,Archival
7/31/15,1,A2M,Archival
7/31/15,0,T2M,Archival
8/1/15,0,A7M,Archival
8/1/15,0,A2M,Archival
8/1/15,0,T2M,Archival
8/2/15,0,A7M,Archival
8/2/15,0,A2M,Archival
8/2/15,0,T2M,Archival
8/3/15,0,A7M,Archival
8/3/15,0,A2M,Archival
8/3/15,0,T2M,Archival
8/4/15,0,A7M,Archival
8/4/15,0,A2M,Archival
8/4/15,0,T2M,Archival
8/5/15,0,A7M,Archival
8/5/15,0,A2M,Archival
8/5/15,0,T2M,Archival
8/6/15,0,A7M,Archival
8/6/15,0,A2M,Archival
8/6/15,0,T2M,Archival
8/7/15,0,A7M,Archival
8/7/15,0,A2M,Archival
8/7/15,0,T2M,Archival
8/8/15,0,A7M,Archival
8/8/15,0,A2M,Archival
8/8/15,0,T2M,Archival
8/9/15,0,A7M,Archival
8/9/15,0,A2M,Archival
8/9/15,0,T2M,Archival
8/10/15,0,A7M,Archival
8/10/15,0,A2M,Archival
8/10/15,0,T2M,Archival
8/11/15,0,A7M,Archival
8/11/15,0,A2M,Archival
8/11/15,0,T2M,Archival
8/12/15,0,A7M,Archival
8/12/15,0,A2M,Archival
8/12/15,0,T2M,Archival
8/13/15,0,A7M,Archival
8/13/15,0,A2M,Archival
8/13/15,0,T2M,Archival
8/14/15,0,A7M,Archival
8/14/15,0,A2M,Archival
8/14/15,0,T2M,Archival
8/15/15,0,A7M,Archival
8/15/15,0,A2M,Archival
8/15/15,0,T2M,Archival
8/16/15,0,A7M,Archival
8/16/15,0,A2M,Archival
8/16/15,0,T2M,Archival
8/17/15,0,A7M,Archival
8/17/15,0,A2M,Archival
8/17/15,0,T2M,Archival
8/18/15,0,A7M,Archival
8/18/15,0,A2M,Archival
8/18/15,0,T2M,Archival
