Date,Month,Year,Recording Device,Site
3/1/17,March,2017,MARU,T-2M
4/1/17,April,2017,MARU,A-2M
4/1/17,April,2017,MARU,A-7M
4/1/17,April,2017,MARU,T-2M
5/1/17,May,2017,MARU,A-2M
5/1/17,May,2017,MARU,A-7M
5/1/17,May,2017,MARU,T-2M
6/1/17,June,2017,MARU,A-2M
6/1/17,June,2017,MARU,A-7M
6/1/17,June,2017,MARU,T-2M
7/1/17,July,2017,MARU,A-2M
7/1/17,July,2017,MARU,A-7M
7/1/17,July,2017,MARU,T-2M
8/1/17,August,2017,MARU,A-2M
8/1/17,August,2017,MARU,A-7M
8/1/17,August,2017,MARU,T-2M
9/1/17,September,2017,MARU,A-2M
9/1/17,September,2017,MARU,A-7M
9/1/17,September,2017,MARU,T-2M
10/1/17,October,2017,MARU,A-2M
10/1/17,October,2017,MARU,A-7M
10/1/17,October,2017,MARU,T-2M
11/22/17,November,2017,MARU,A-2M
11/22/17,November,2017,MARU,A-7M
11/22/17,November,2017,MARU,T-2M
5/1/21,May,2021,DMON,RTWB
6/1/21,June,2021,DMON,RTWB
7/1/21,July,2021,DMON,RTWB
8/1/21,August,2021,DMON,RTWB
9/1/21,September,2021,DMON,RTWB
10/1/21,October,2021,DMON,RTWB
11/1/21,November,2021,DMON,RTWB
12/1/21,December,2021,DMON,RTWB
1/1/22,January,2022,DMON,RTWB
2/1/22,February,2022,DMON,RTWB
3/1/22,March,2022,DMON,RTWB
4/1/22,April,2022,DMON,RTWB
5/1/22,May,2022,DMON,RTWB
6/1/22,June,2022,DMON,RTWB
7/1/22,July,2022,DMON,RTWB
8/1/22,August,2022,DMON,RTWB
9/1/22,September,2022,DMON,RTWB
10/1/22,October,2022,DMON,RTWB
11/1/22,November,2022,DMON,RTWB
12/1/22,December,2022,DMON,RTWB
1/1/23,January,2023,DMON,RTWB
2/1/23,February,2023,DMON,RTWB
3/1/23,March,2023,DMON,RTWB
4/1/23,April,2023,DMON,RTWB
4/19/23,April,2023,Rockhopper,A-2M
4/19/23,April,2023,Rockhopper,A-7M
4/19/23,April,2023,Rockhopper,T-2M
5/1/23,May,2023,DMON,RTWB
5/1/23,May,2023,Rockhopper,A-2M
5/1/23,May,2023,Rockhopper,A-7M
5/1/23,May,2023,Rockhopper,T-2M
6/1/23,June,2023,DMON,RTWB
6/1/23,June,2023,Rockhopper,A-2M
6/1/23,June,2023,Rockhopper,A-7M
6/1/23,June,2023,Rockhopper,T-2M
7/1/23,July,2023,DMON,RTWB
7/1/23,July,2023,Rockhopper,A-2M
7/1/23,July,2023,Rockhopper,A-7M
7/1/23,July,2023,Rockhopper,T-2M
8/1/23,August,2023,DMON,RTWB
8/1/23,August,2023,Rockhopper,A-2M
8/1/23,August,2023,Rockhopper,A-7M
8/1/23,August,2023,Rockhopper,T-2M
9/1/23,September,2023,DMON,RTWB
9/1/23,September,2023,Rockhopper,A-2M
9/1/23,September,2023,Rockhopper,A-7M
9/1/23,September,2023,Rockhopper,T-2M
10/1/23,October,2023,DMON,RTWB
10/1/23,October,2023,Rockhopper,A-2M
10/1/23,October,2023,Rockhopper,A-7M
10/1/23,October,2023,Rockhopper,T-2M
11/1/23,November,2023,DMON,RTWB
11/1/23,November,2023,Rockhopper,A-2M
11/1/23,November,2023,Rockhopper,A-7M
11/1/23,November,2023,Rockhopper,T-2M
12/1/23,December,2023,DMON,RTWB
12/1/23,December,2023,Rockhopper,A-2M
12/1/23,December,2023,Rockhopper,A-7M
12/1/23,December,2023,Rockhopper,T-2M
1/1/24,January,2024,DMON,RTWB
1/1/24,January,2023,Rockhopper,A-2M
1/1/24,January,2023,Rockhopper,A-7M
1/1/24,January,2023,Rockhopper,T-2M
2/1/24,February,2024,DMON,RTWB
2/1/24,February,2023,Rockhopper,A-2M
2/1/24,February,2023,Rockhopper,A-7M
2/1/24,February,2023,Rockhopper,T-2M
3/1/24,March,2024,DMON,RTWB
3/1/24,March,2023,Rockhopper,A-2M
3/1/24,March,2023,Rockhopper,A-7M
3/1/24,March,2023,Rockhopper,T-2M
4/1/24,April,2024,DMON,RTWB
4/22/24,April,2024,Rockhopper,A-2M
4/22/24,April,2024,Rockhopper,A-7M
4/22/24,April,2024,Rockhopper,T-2M
5/1/24,May,2024,DMON,RTWB
6/1/24,June,2024,DMON,RTWB
7/1/24,July,2024,DMON,RTWB
8/1/24,August,2024,DMON,RTWB
9/1/24,September,2024,DMON,RTWB
10/1/24,October,2024,DMON,RTWB
11/1/24,November,2024,DMON,RTWB
12/1/24,December,2024,DMON,RTWB
