Year,Month,Site,PercentOccurrence,DeviceType,Period
2023,Aug,A7M,0,Archival,2
2023,Aug,RTWB,0,RealTime,2
2023,Aug,T2M,0,Archival,2
2023,Sep,A2M,0,Archival,2
2023,Sep,A7M,0,Archival,2
2023,Sep,RTWB,0,RealTime,2
2023,Sep,T2M,0,Archival,2
2023,Oct,A2M,0,Archival,2
2023,Oct,A7M,0,Archival,2
2023,Oct,RTWB,0,RealTime,2
2023,Oct,T2M,0,Archival,2
2023,Nov,A2M,10,Archival,2
2023,Nov,A7M,7,Archival,2
2023,Nov,RTWB,3,RealTime,2
2023,Nov,T2M,3,Archival,2
2023,Dec,A2M,48,Archival,2
2023,Dec,A7M,45,Archival,2
2023,Dec,RTWB,35,RealTime,2
2023,Dec,T2M,32,Archival,2
2024,Jan,A2M,55,Archival,2
2024,Jan,A7M,94,Archival,2
2024,Jan,RTWB,68,RealTime,2
2024,Jan,T2M,74,Archival,2
2024,Feb,A2M,38,Archival,2
2024,Feb,A7M,28,Archival,2
2024,Feb,RTWB,28,RealTime,2
2024,Feb,T2M,24,Archival,2
2024,Mar,A2M,13,Archival,2
2024,Mar,A7M,45,Archival,2
2024,Mar,RTWB,39,RealTime,2
2024,Mar,T2M,42,Archival,2
2024,Apr,A2M,0,Archival,2
2024,Apr,A7M,12,Archival,2
2024,Apr,RTWB,20,RealTime,2
2024,Apr,T2M,29,Archival,2
2024,May,RTWB,13,RealTime,2
2024,Jun,RTWB,3,RealTime,2
2024,Jul,RTWB,0,RealTime,2
2024,Oct,RTWB,0,RealTime,2
2024,Nov,RTWB,7,RealTime,2
2024,Dec,RTWB,39,RealTime,2
