"time","bottom_temp","sst","sss","zeta","dist_shore_km","dist_OC_km","dist_200m_km","dist_MO_km","dist_RTWB_km","dist_NB_km","depth_m"
2014-11-30,14.5746879577637,14.5341672897339,33.8812866210938,-0.594368934631348,48.7,50.2,55.9,22.4,12.2,23.9,34
2014-12-01,13.6102895736694,13.5269165039062,33.8688735961914,-0.117080323398113,48.7,50.2,55.9,22.4,12.2,23.9,34
2014-12-02,13.7863578796387,13.3832139968872,33.8496360778809,-0.116694331169128,48.7,50.2,55.9,22.4,12.2,23.9,34
2014-12-03,13.9232778549194,13.9014101028442,33.9096832275391,-0.0106078581884503,48.7,50.2,55.9,22.4,12.2,23.9,34
2014-12-04,13.9980535507202,13.7820129394531,33.9046859741211,-0.178113743662834,48.7,50.2,55.9,22.4,12.2,23.9,34
2014-12-05,14.058934211731,13.7372140884399,33.9260673522949,-0.144814535975456,48.7,50.2,55.9,22.4,12.2,23.9,34
2014-12-06,12.9502477645874,13.5580358505249,33.9544944763184,0.0177911948412657,48.7,50.2,55.9,22.4,12.2,23.9,34
2014-12-07,12.9193239212036,13.1813173294067,33.9174537658691,0.0243714228272438,48.7,50.2,55.9,22.4,12.2,23.9,34
2014-12-08,12.5760049819946,12.5581293106079,33.9165115356445,0.157436892390251,48.7,50.2,55.9,22.4,12.2,23.9,34
2014-12-09,12.4505758285522,12.4516744613647,33.6526641845703,0.355736762285233,48.7,50.2,55.9,22.4,12.2,23.9,34
2014-12-10,12.0073728561401,11.9489707946777,33.2325553894043,0.107275195419788,48.7,50.2,55.9,22.4,12.2,23.9,34
2014-12-11,11.7297172546387,11.6446485519409,33.1797065734863,-0.099719226360321,48.7,50.2,55.9,22.4,12.2,23.9,34
2014-12-12,11.2477235794067,11.1088485717773,33.1675682067871,-0.173157051205635,48.7,50.2,55.9,22.4,12.2,23.9,34
2014-12-13,11.160590171814,10.9016218185425,33.0709190368652,-0.131004258990288,48.7,50.2,55.9,22.4,12.2,23.9,34
2014-12-14,11.0240430831909,10.6551160812378,33.0110969543457,-0.10667011141777,48.7,50.2,55.9,22.4,12.2,23.9,34
2014-12-15,10.4532489776611,10.1659250259399,33.222240447998,-0.172348663210869,48.7,50.2,55.9,22.4,12.2,23.9,34
2014-12-16,10.6244401931763,10.2076463699341,33.2565994262695,-0.0967734530568123,48.7,50.2,55.9,22.4,12.2,23.9,34
2014-12-17,10.9803466796875,10.2463369369507,33.2584190368652,-0.0607049465179443,48.7,50.2,55.9,22.4,12.2,23.9,34
2014-12-18,10.749945640564,10.6190376281738,33.2175827026367,-0.183234050869942,48.7,50.2,55.9,22.4,12.2,23.9,34
2014-12-19,10.8309936523438,10.4084558486938,33.2879829406738,-0.244777023792267,48.7,50.2,55.9,22.4,12.2,23.9,34
2014-12-20,10.8615379333496,10.2741098403931,33.3193550109863,-0.257231205701828,48.7,50.2,55.9,22.4,12.2,23.9,34
2014-12-21,10.9205274581909,9.4960298538208,33.1818199157715,-0.243432283401489,48.7,50.2,55.9,22.4,12.2,23.9,34
