"time","bottom_temp","sst","sss","zeta","dist_shore_km","dist_OC_km","dist_200m_km","dist_MO_km","dist_RTWB_km","dist_NB_km","depth_m"
2017-09-12,16.9776363372803,21.7661533355713,31.4896621704102,-0.0141350710764527,36,37.6,67.9,10.4,0.7,17.8,32
2017-09-13,16.8431415557861,21.8683490753174,31.4429454803467,0.0419005863368511,36,37.6,67.9,10.4,0.7,17.8,32
2017-09-14,16.3966808319092,21.9212017059326,31.3752670288086,0.0178425814956427,36,37.6,67.9,10.4,0.7,17.8,32
2017-09-15,16.260461807251,22.302001953125,31.3620223999023,0.0391459241509438,36,37.6,67.9,10.4,0.7,17.8,32
2017-09-16,16.0308818817139,22.4544429779053,31.3469161987305,-0.0165661685168743,36,37.6,67.9,10.4,0.7,17.8,32
2017-09-17,16.0189762115479,22.4458541870117,31.366828918457,-0.0129597214981914,36,37.6,67.9,10.4,0.7,17.8,32
2017-09-18,16.981409072876,22.595588684082,31.4097652435303,0.0790832713246346,36,37.6,67.9,10.4,0.7,17.8,32
2017-09-19,17.9055843353271,22.3449954986572,31.3844127655029,0.288633793592453,36,37.6,67.9,10.4,0.7,17.8,32
2017-09-20,20.794038772583,21.6364517211914,31.1314754486084,0.31728607416153,36,37.6,67.9,10.4,0.7,17.8,32
2017-09-21,20.015007019043,21.3317031860352,31.1188068389893,0.145080775022507,36,37.6,67.9,10.4,0.7,17.8,32
2017-09-22,19.2230739593506,21.3804092407227,31.0815048217773,0.222605049610138,36,37.6,67.9,10.4,0.7,17.8,32
2017-09-23,18.8170776367188,21.2637405395508,31.0053806304932,0.160141080617905,36,37.6,67.9,10.4,0.7,17.8,32
2017-09-24,18.0518016815186,21.2223339080811,31.1183071136475,0.0560773424804211,36,37.6,67.9,10.4,0.7,17.8,32
2017-09-25,17.7505931854248,21.2044372558594,31.16282081604,0.067175105214119,36,37.6,67.9,10.4,0.7,17.8,32
2017-09-26,17.8597946166992,20.8782558441162,31.2251110076904,0.12109699100256,36,37.6,67.9,10.4,0.7,17.8,32
2017-09-27,18.9122257232666,21.3501663208008,31.3711795806885,0.213077023625374,36,37.6,67.9,10.4,0.7,17.8,32
2017-09-28,20.0257015228271,21.3587493896484,31.4291381835938,0.20686037838459,36,37.6,67.9,10.4,0.7,17.8,32
2017-09-29,20.5622425079346,21.3525295257568,31.5119724273682,0.0924229100346565,36,37.6,67.9,10.4,0.7,17.8,32
2017-09-30,19.5873527526855,21.1697597503662,31.4994449615479,0.0199955776333809,36,37.6,67.9,10.4,0.7,17.8,32
2017-10-01,19.5574951171875,20.1887149810791,31.6448535919189,0.0457900650799274,36,37.6,67.9,10.4,0.7,17.8,32
2017-10-02,20.0758380889893,20.2083187103271,31.7253341674805,-0.0767483338713646,36,37.6,67.9,10.4,0.7,17.8,32
2017-10-03,18.1626663208008,19.9425086975098,31.5709400177002,-0.0744458958506584,36,37.6,67.9,10.4,0.7,17.8,32
2017-10-04,18.1956729888916,19.9209384918213,31.571756362915,-0.0352680422365665,36,37.6,67.9,10.4,0.7,17.8,32
2017-10-05,17.7813358306885,20.161958694458,31.5190353393555,-0.14376237988472,36,37.6,67.9,10.4,0.7,17.8,32
2017-10-06,17.3219547271729,21.3101119995117,31.5256938934326,-0.130964577198029,36,37.6,67.9,10.4,0.7,17.8,32
2017-10-07,17.1372966766357,21.7579364776611,31.4209957122803,-0.0235364940017462,36,37.6,67.9,10.4,0.7,17.8,32
2017-10-08,16.951244354248,22.0142421722412,31.303825378418,-0.0327900685369968,36,37.6,67.9,10.4,0.7,17.8,32
