Date,Site,sst,bottom_temp,sss,stratification,phase,daylight_hours,year,month,site,device_type,days_monitored,days_present,percent_occurrence,period,dist_200m_km
7/1/16,A2M,24.25218201,15.23513763,31.30104124,0.375710182,0.503904119,14.55122066,2016,Jul,A2M,Archival,24,0,0,1,83.3
7/1/16,A7M,24.8640602,13.928323,31.43754603,0.31244913,0.506907529,14.54501208,2016,Jul,A7M,Archival,24,0,0,1,67.9
7/1/16,T2M,25.22285472,12.91276428,31.73422201,0.341946957,0.503904119,14.54437011,2016,Jul,T2M,Archival,24,0,0,1,55.9
8/1/16,A2M,25.49906238,15.7075351,31.8833425,0.407980304,0.498241657,13.60284946,2016,Aug,A2M,Archival,31,0,0,1,83.3
8/1/16,A7M,26.46912212,13.0234291,32.10635973,0.384162581,0.498241657,13.59871864,2016,Aug,A7M,Archival,31,0,0,1,67.9
8/1/16,T2M,26.93511957,11.5202238,32.10860431,0.428191549,0.498241657,13.59875448,2016,Aug,T2M,Archival,31,0,0,1,55.9
9/1/16,A2M,23.07370523,20.97913195,31.91366355,0.087273887,0.501029943,12.41363889,2016,Sep,A2M,Archival,30,0,0,1,83.3
9/1/16,A7M,23.10390956,18.19751654,32.15570812,0.140182,0.501029943,12.41280556,2016,Sep,A7M,Archival,30,0,0,1,67.9
9/1/16,T2M,23.08345051,15.60799058,32.38221645,0.207651665,0.501029943,12.41278704,2016,Sep,T2M,Archival,30,1,3.333333333,1,55.9
10/1/16,A2M,19.34371788,19.14721637,31.92279606,0.008187564,0.468208624,11.17634409,2016,Oct,A2M,Archival,31,0,0,1,83.3
10/1/16,A7M,19.25019233,18.64902533,32.29125257,0.017176452,0.468208624,11.17878136,2016,Oct,A7M,Archival,31,1,3.225806452,1,67.9
10/1/16,T2M,18.96615982,17.57386918,32.84813493,0.03867474,0.468208624,11.17880824,2016,Oct,T2M,Archival,31,1,3.225806452,1,55.9
11/1/16,A2M,14.85316401,14.95560834,32.4691892,-0.004268515,0.497494241,10.09401852,2016,Nov,A2M,Archival,30,3,10,1,83.3
11/1/16,A7M,15.34853207,15.37835325,32.93173243,-0.000851333,0.497494241,10.09953704,2016,Nov,A7M,Archival,30,3,10,1,67.9
11/1/16,T2M,15.68775854,15.69221112,33.28941129,-0.000123683,0.497494241,10.0995,2016,Nov,T2M,Archival,30,1,3.333333333,1,55.9
12/1/16,A2M,9.845088279,10.21841767,32.5422041,-0.015555391,0.516091705,9.534604087,2016,Dec,A2M,Archival,30,10,33.33333333,1,83.3
12/1/16,A7M,11.18773497,11.69840305,33.22108832,-0.014590449,0.505535637,9.545106117,2016,Dec,A7M,Archival,31,9,29.03225806,1,67.9
12/1/16,T2M,12.29502596,12.53561478,33.74980122,-0.006683023,0.516581826,9.545829987,2016,Dec,T2M,Archival,28,0,0,1,55.9
1/1/17,A2M,7.127532454,7.701495842,32.57068477,-0.023915142,0.535390678,9.86749354,2017,Jan,A2M,Archival,31,12,38.70967742,1,83.3
1/1/17,A7M,8.227325318,8.893224777,33.14723791,-0.019025233,0.535390678,9.873604651,2017,Jan,A7M,Archival,31,13,41.93548387,1,67.9
1/1/17,T2M,9.272777696,9.444370151,33.64293226,-0.004766457,0.602531282,9.927847222,2017,Jan,T2M,Archival,24,10,41.66666667,1,55.9
2/1/17,A2M,5.934131146,6.168939318,32.62044716,-0.009783674,0.533325475,10.78357143,2017,Feb,A2M,Archival,28,0,0,1,83.3
2/1/17,A7M,6.805339507,7.233501843,33.15833364,-0.012233571,0.533325475,10.78710317,2017,Feb,A7M,Archival,28,0,0,1,67.9
2/1/17,T2M,7.401032584,7.895817007,33.47153487,-0.013744012,0.533325475,10.78710317,2017,Feb,T2M,Archival,28,1,3.571428571,1,55.9
3/1/17,A2M,6.319630761,6.101433246,32.66112998,0.009091563,0.504856434,11.97456989,2017,Mar,A2M,Archival,31,4,12.90322581,1,83.3
3/1/17,A7M,6.604004291,6.588024124,33.19559737,0.000456774,0.504856434,11.97488351,2017,Mar,A7M,Archival,31,6,19.35483871,1,67.9
3/1/17,T2M,7.190578845,7.24590603,33.74507621,-0.001536868,0.504856434,11.97483871,2017,Mar,T2M,Archival,31,5,16.12903226,1,55.9
4/1/17,A2M,9.672038825,7.232561175,32.20148048,0.101644902,0.502813196,13.21817593,2017,Apr,A2M,Archival,30,0,0,1,83.3
4/1/17,A7M,9.545485193,7.050534439,32.60807737,0.071284667,0.502813196,13.2150463,2017,Apr,A7M,Archival,30,1,3.333333333,1,67.9
4/1/17,T2M,9.54327364,7.351393461,33.01491598,0.060885561,0.502813196,13.21508333,2017,Apr,T2M,Archival,30,0,0,1,55.9
5/1/17,A2M,14.26129904,10.4705198,31.64085093,0.157949135,0.47760983,14.26728495,2017,May,A2M,Archival,31,0,0,1,83.3
5/1/17,A7M,13.98754046,8.590941367,32.05150986,0.154188387,0.47760983,14.26125448,2017,May,A7M,Archival,31,0,0,1,67.9
5/1/17,T2M,13.86018848,7.897813828,32.50570974,0.165621518,0.47760983,14.26129032,2017,May,T2M,Archival,31,0,0,1,55.9
6/1/17,A2M,19.01929894,12.61096792,31.04896552,0.267013792,0.505235523,14.79525926,2017,Jun,A2M,Archival,33,1,3.03030303,1,83.3
