Date,Site,sst,bottom_temp,sss,stratification,phase,daylight_hours,device_type,percent_occurrence,period
9/21/15,A2M,21.84799767,21.16951547,31.90188721,0.028270086,0.477628024,11.95293651,Archival,0,1
9/21/15,A7M,22.03437505,19.76568883,32.47295979,0.06482,0.477628024,11.95339286,Archival,0,1
9/21/15,T2M,21.91408375,18.18539463,33.2865963,0.103574696,0.477628024,11.9534127,Archival,0,1
10/5/15,A2M,18.81215423,18.96546991,32.0131761,-0.006388153,0.525916397,11.38168651,Archival,0,1
10/5/15,A7M,19.05765234,18.85541425,32.73708017,0.005777857,0.525916397,11.38365079,Archival,0,1
10/5/15,T2M,19.09309019,18.63352748,33.48520007,0.012765629,0.525916397,11.38359127,Archival,0,1
10/19/15,A2M,17.13021374,17.46145385,32.29135186,-0.013801671,0.426966398,10.8302381,Archival,7,1
10/19/15,A7M,17.41444274,17.54484531,32.85995565,-0.003725714,0.426966398,10.83369048,Archival,0,1
10/19/15,T2M,17.85328524,17.61733723,33.54811478,0.006554112,0.426966398,10.83367063,Archival,0,1
11/2/15,A2M,16.58906365,17.15244416,32.29565321,-0.023474188,0.614976554,10.32444444,Archival,0,1
11/2/15,A7M,16.97989668,17.55344377,32.7974126,-0.016387857,0.614976554,10.32930556,Archival,14,1
11/2/15,T2M,17.41017641,18.03391974,33.37586457,-0.017326204,0.614976554,10.32926587,Archival,0,1
11/16/15,A2M,14.55626386,14.76701743,33.0032414,-0.008781399,0.375435389,9.902142857,Archival,36,1
11/16/15,A7M,15.14999247,15.70107038,33.27502469,-0.015745714,0.375435389,9.908194444,Archival,21,1
11/16/15,T2M,15.82606091,17.10749129,33.69952147,-0.035595288,0.375435389,9.908174603,Archival,7,1
11/30/15,A2M,12.8666341,13.1261269,32.6685573,-0.0108122,0.702259968,9.61093254,Archival,79,1
11/30/15,A7M,13.69213826,13.85209295,33.32132476,-0.004570714,0.702259968,9.617837302,Archival,57,1
11/30/15,T2M,14.41033908,14.82666765,33.82156154,-0.011564682,0.702259968,9.617916667,Archival,43,1
12/14/15,A2M,12.74438068,13.15342665,32.77564212,-0.017043582,0.321512093,9.49531746,Archival,7,1
12/14/15,A7M,13.33229371,14.09950774,33.14757674,-0.021920714,0.321512093,9.502579365,Archival,0,1
12/14/15,T2M,13.97187301,14.79944876,33.55842427,-0.022988215,0.321512093,9.502559524,Archival,0,1
12/28/15,A2M,11.23511219,11.90872983,32.50355462,-0.028067402,0.788761875,9.57656746,Archival,57,1
12/28/15,A7M,12.15426561,13.15852765,33.20835686,-0.028692857,0.788761875,9.583670635,Archival,50,1
12/28/15,T2M,12.92093529,14.15817179,33.56915392,-0.034367681,0.788761875,9.58359127,Archival,36,1
1/11/16,A2M,8.276076998,8.903141941,32.56869589,-0.026127709,0.267200913,9.841170635,Archival,36,1
1/11/16,A7M,9.357055903,10.19572387,33.26294027,-0.023962143,0.267200913,9.847400794,Archival,36,1
1/11/16,T2M,10.4536079,10.99400786,33.79804993,-0.01501111,0.267200913,9.847321429,Archival,43,1
1/25/16,A2M,6.020478725,6.755521808,32.29562705,-0.030626795,0.734148781,10.24815476,Archival,100,1
1/25/16,A7M,7.112227133,7.985893011,32.94956207,-0.024961429,0.734148781,10.2531746,Archival,100,1
1/25/16,T2M,8.378315994,8.705396652,33.4643086,-0.009085573,0.734148781,10.25319444,Archival,100,1
2/8/16,A2M,5.318794421,6.03477209,31.98069368,-0.029832403,0.286584633,10.74906746,Archival,50,1
2/8/16,A7M,6.447399582,7.039872272,32.96249253,-0.016927857,0.286584633,10.75267857,Archival,50,1
2/8/16,T2M,7.754917009,7.805306196,33.55930846,-0.0013997,0.286584633,10.75259921,Archival,43,1
2/22/16,A2M,5.615924652,6.160035353,31.90376825,-0.022671279,0.678466978,11.30132479,Archival,54,1
2/22/16,A7M,6.46321348,7.625127292,32.59845333,-0.0331985,0.678804399,11.30390278,Archival,62,1
2/22/16,T2M,7.546360566,8.783200374,33.19121082,-0.034356661,0.678466978,11.3034188,Archival,38,1
3/7/16,A2M,7.350106376,7.009264537,30.94708988,0.014201743,0.377342557,11.88089286,Archival,79,1
