"period","Site","sst","bottom_temp","sss","stratification","phase","daylight_hours"
2015-12-28,"A2M",11.2351121893571,11.9087298257143,32.5035546164286,-0.0280674015,0.788761875184698,9.57656746031746
2015-12-28,"A7M",12.1542656078571,13.1585276457143,33.2083568571429,-0.0286928571428571,0.788761875184698,9.58367063492063
2015-12-28,"T2M",12.92093529,14.1581717892857,33.5691539221429,-0.0343676805,0.788761875184698,9.58359126984127
2016-01-11,"A2M",8.27607699807143,8.90314194114286,32.5686958857143,-0.0261277087142857,0.267200912660805,9.84117063492064
2016-01-11,"A7M",9.35705590271429,10.1957238746429,33.2629402685714,-0.0239621428571429,0.267200912660805,9.84740079365079
2016-01-11,"T2M",10.4536078998571,10.99400786,33.7980499264286,-0.01501111,0.267200912660805,9.84732142857143
2016-01-25,"A2M",6.02047872535714,6.75552180835714,32.2956270485714,-0.0306267949285714,0.734148780787762,10.2481547619048
2016-01-25,"A7M",7.11222713342857,7.985893011,32.9495620728571,-0.0249614285714286,0.734148780787762,10.2531746031746
2016-01-25,"T2M",8.37831599371428,8.70539665228571,33.4643086028571,-0.00908557257142857,0.734148780787762,10.2531944444444
2016-02-08,"A2M",5.31879442078571,6.0347720895,31.9806936807143,-0.0298324029285714,0.286584632540727,10.7490674603175
2016-02-08,"A7M",6.44739958221429,7.03987227171429,32.9624925328571,-0.0169278571428571,0.286584632540727,10.7526785714286
2016-02-08,"T2M",7.75491700857143,7.80530619621429,33.55930846,-0.00139969964285714,0.286584632540727,10.7525992063492
2016-02-22,"A2M",5.61592465184615,6.16003535346154,31.9037682461538,-0.0226712790769231,0.678466978311098,11.3013247863248
2016-02-22,"A7M",6.4632134796,7.625127291775,32.59845333125,-0.0331985,0.67880439898293,11.3039027777778
2016-02-22,"T2M",7.546360566,8.78320037392308,33.1912108215385,-0.0343566613076923,0.678466978311098,11.3034188034188
2016-03-07,"A2M",7.35010637557143,7.00926453714286,30.9470898771429,0.0142017432142857,0.377342556530716,11.8808928571429
2016-03-07,"A7M",7.88193314421429,8.20015386178572,31.4497168407143,-0.00909214285714285,0.377342556530716,11.881369047619
2016-03-07,"T2M",8.70905794421429,9.03347706792857,32.3533366057143,-0.00901164228571428,0.377342556530716,11.8813888888889
2016-03-21,"A2M",7.70342155864286,7.12163189485714,31.5807115007143,0.0242412387142857,0.626022411039386,12.4638095238095
2016-03-21,"A7M",7.77120270035714,7.62849082257143,32.05360331,0.00407714285714286,0.626022411039386,12.4626984126984
2016-03-21,"T2M",8.05622945514286,8.14582903014286,32.7556999742857,-0.00248887685714286,0.626022411039386,12.4626984126984
2016-04-04,"A2M",8.89455468314286,8.7127507755,32.781283515,0.00757516292857143,0.397793935175838,13.0355753968254
2016-04-04,"A7M",8.93645545414286,8.88097660907143,33.0283156807143,0.00158428571428571,0.397793935175838,13.0329761904762
